Q,I(Q),Error
1.20095875E-01,2.14943290E-03,1.41742994E-04
1.20381477E-01,1.95768476E-03,1.39951382E-04
1.20667080E-01,1.98473036E-03,1.40836691E-04
1.20952682E-01,2.16416270E-03,1.37938788E-04
1.21238285E-01,1.86996907E-03,1.39411820E-04
1.21523887E-01,1.90198421E-03,1.38568546E-04
1.21809490E-01,1.78986788E-03,1.37790058E-04
1.22095093E-01,1.85564905E-03,1.38639283E-04
1.22380695E-01,1.75723433E-03,1.36817423E-04
1.22666298E-01,1.73890591E-03,1.36771512E-04
1.22951900E-01,1.74086913E-03,1.35700234E-04
1.23237503E-01,1.48357078E-03,1.36054789E-04
1.23523105E-01,1.56468153E-03,1.35420819E-04
1.23808708E-01,1.67366862E-03,1.35659939E-04
1.24094310E-01,1.70733407E-03,1.36376104E-04
1.24379913E-01,1.86686218E-03,1.34686480E-04
1.24665516E-01,1.82214379E-03,1.34929261E-04
1.24951118E-01,1.57998875E-03,1.34994194E-04
1.25236721E-01,1.59679726E-03,1.35235506E-04
1.25522323E-01,1.66637078E-03,1.35804980E-04
1.25807926E-01,1.58444047E-03,1.33758291E-04
1.26093528E-01,1.57852471E-03,1.34881641E-04
1.26379131E-01,1.65741146E-03,1.33992970E-04
1.26664733E-01,1.48914754E-03,1.37577432E-04
1.26950336E-01,1.64581835E-03,1.40445305E-04
1.27235939E-01,1.42098963E-03,1.40980019E-04
1.27521541E-01,1.36640295E-03,1.43806223E-04
1.27807144E-01,1.44908950E-03,1.42944464E-04
1.28092746E-01,1.39427185E-03,1.45057973E-04
1.28378349E-01,1.65307522E-03,1.45936928E-04
1.28663951E-01,1.60684809E-03,1.46607041E-04
1.28949554E-01,1.44989043E-03,1.47925253E-04
1.29235156E-01,1.17586553E-03,1.46858113E-04
1.29520759E-01,1.51288882E-03,1.47763442E-04
1.29806362E-01,1.41315907E-03,1.48177598E-04
1.30091964E-01,1.45292282E-03,1.47539139E-04
1.30377567E-01,1.21868774E-03,1.49334824E-04
1.30663169E-01,1.38810650E-03,1.47809269E-04
1.30948772E-01,1.51584297E-03,1.49005804E-04
1.31234374E-01,1.47011876E-03,1.46712493E-04
1.31519977E-01,1.30223483E-03,1.48617980E-04
1.31805579E-01,1.34361163E-03,1.49072594E-04
1.32091182E-01,1.30884722E-03,1.48857919E-04
1.32376785E-01,1.35153159E-03,1.51422903E-04
1.32662387E-01,1.43000111E-03,1.49328506E-04
1.32947990E-01,1.19026750E-03,1.50275566E-04
1.33233592E-01,1.24862045E-03,1.49961846E-04
1.33519195E-01,1.29555911E-03,1.47300199E-04
1.33804797E-01,1.52950361E-03,1.44853866E-04
1.34090400E-01,1.46139041E-03,1.41378756E-04
1.34376002E-01,1.41894445E-03,1.41831220E-04
1.34661605E-01,1.40657276E-03,1.39670540E-04
1.34947208E-01,1.40352920E-03,1.38967257E-04
1.35232810E-01,1.30928308E-03,1.38621668E-04
1.35518413E-01,1.19541958E-03,1.36757160E-04
1.35804015E-01,1.32618099E-03,1.35725750E-04
1.36089618E-01,1.09834969E-03,1.35015914E-04
1.36375220E-01,1.22883543E-03,1.35178378E-04
1.36660823E-01,1.17604807E-03,1.34535153E-04
1.36946425E-01,1.14529580E-03,1.34195012E-04
1.37232028E-01,9.99670476E-04,1.34043094E-04
1.37517631E-01,1.17925927E-03,1.33566280E-04
1.37803233E-01,1.01350993E-03,1.33853872E-04
1.38088836E-01,1.11635774E-03,1.32381463E-04
1.38374438E-01,1.01821497E-03,1.32877796E-04
1.38660041E-01,1.02926046E-03,1.32757417E-04
1.38945643E-01,8.49984586E-04,1.32082965E-04
1.39231246E-01,1.08722597E-03,1.32787018E-04
1.39516848E-01,8.72328877E-04,1.31782617E-04
1.39802451E-01,1.12453476E-03,1.31304014E-04
1.40088054E-01,9.63721424E-04,1.31819254E-04
1.40373656E-01,9.66962427E-04,1.31310662E-04
1.40659259E-01,1.12077221E-03,1.31569624E-04
1.40944861E-01,1.00347772E-03,1.30276124E-04
1.41230464E-01,1.22423097E-03,1.31663832E-04
1.41516066E-01,1.11848488E-03,1.30832671E-04
1.41801669E-01,9.59280878E-04,1.30432694E-04
1.42087271E-01,1.16882473E-03,1.30959254E-04
1.42372874E-01,1.29905716E-03,1.29470550E-04
1.42658477E-01,9.35867429E-04,1.30424018E-04
1.42944079E-01,8.71695578E-04,1.29810908E-04
1.43229682E-01,9.76156443E-04,1.29417805E-04
1.43515284E-01,7.31188804E-04,1.29885050E-04
1.43800887E-01,6.79515302E-04,1.28095249E-04
1.44086489E-01,8.00598413E-04,1.29491444E-04
1.44372092E-01,9.52456146E-04,1.28345331E-04
1.44657694E-01,8.07639211E-04,1.28835420E-04
1.44943297E-01,9.83655453E-04,1.28627560E-04
1.45228900E-01,8.64379108E-04,1.27732619E-04
1.45514502E-01,5.12085855E-04,1.28844129E-04
1.45800105E-01,8.75413418E-04,1.26899120E-04
1.46085707E-01,8.34595412E-04,1.28731619E-04
1.46371310E-01,1.03857368E-03,1.28308998E-04
1.46656912E-01,6.71267509E-04,1.27423013E-04
1.46942515E-01,8.31194222E-04,1.27549350E-04
1.47228117E-01,9.99212265E-04,1.26339189E-04
1.47513720E-01,7.28677958E-04,1.27293082E-04
1.47799323E-01,6.88865781E-04,1.27216506E-04
1.48084925E-01,9.05014575E-04,1.26965182E-04
1.48370528E-01,6.43502921E-04,1.27083401E-04
1.48656130E-01,8.44452530E-04,1.26544877E-04
1.48941733E-01,8.30516219E-04,1.27179203E-04
1.49227335E-01,7.06236809E-04,1.26032708E-04
1.49512938E-01,6.22346997E-04,1.25664252E-04
1.49798540E-01,7.77143985E-04,1.26398681E-04
1.50084143E-01,7.77229667E-04,1.25681525E-04
