,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
p53 NTAD,1020,587,3563,3619,3529,3466,3495,3398,3475,3221,3331,3341,3134,2945,3490,3158,3252,3126,3286,3023
p53 NTAD,1020,588,3402,3493,3377,3318,3362,3277,3335,3096,3166,3222,3015,2817,3357,3014,3110,2979,3143,2886
p53 NTAD,1020,589,3318,3353,3310,3230,3275,3167,3223,3006,3107,3129,2953,2726,3242,2950,3028,2928,3086,2768
p53 NTAD,1020,590,3206,3249,3192,3128,3138,3063,3135,2912,3018,3004,2828,2674,3152,2870,2942,2820,2961,2707
p53 NTAD,1020,591,3124,3155,3104,3048,3102,2969,3058,2825,2927,2930,2737,2573,3056,2767,2842,2733,2903,2635
p53 NTAD,1020,592,3062,3074,3002,2942,3007,2883,2983,2758,2863,2844,2661,2527,2978,2701,2775,2661,2792,2567
p53 NTAD,1020,593,2999,3002,2952,2892,2955,2843,2910,2702,2769,2795,2640,2446,2927,2643,2721,2631,2760,2512
p53 NTAD,1020,594,2873,2921,2863,2801,2835,2752,2785,2646,2695,2714,2543,2377,2824,2564,2612,2543,2660,2420
p53 NTAD,1020,595,2780,2805,2778,2712,2716,2658,2710,2513,2610,2610,2470,2301,2716,2462,2535,2413,2569,2326
p53 NTAD,1020,596,2692,2725,2680,2634,2676,2598,2623,2457,2516,2511,2381,2225,2661,2399,2469,2377,2469,2272
p53 NTAD,1020,597,2603,2669,2592,2574,2568,2480,2556,2383,2446,2451,2304,2154,2568,2315,2378,2299,2416,2196
p53 NTAD,1020,598,2517,2554,2521,2486,2508,2426,2448,2313,2380,2387,2237,2097,2508,2226,2302,2229,2359,2149
p53 NTAD,1020,599,2446,2468,2449,2378,2380,2352,2383,2241,2289,2297,2154,2035,2361,2167,2233,2163,2269,2037
p53 NTAD,1020,600,2367,2409,2371,2312,2333,2270,2323,2146,2224,2221,2091,1948,2321,2097,2169,2076,2188,2002
